Class Name,Accuracy
white-headed capuchin,70.0
howler monkey,20.0
titi monkey,30.0
Geoffroy's spider monkey,48.57142857142857
common squirrel monkey,100.0
ring-tailed lemur,80.0
indri,62.857142857142854
Asian elephant,100.0
African bush elephant,11.428571428571429
red panda,90.0
giant panda,100.0
snoek fish,2.857142857142857
eel,12.857142857142858
silver salmon,100.0
rock beauty fish,14.285714285714286
clownfish,60.0
sturgeon,50.0
gar fish,25.714285714285715
lionfish,80.0
pufferfish,48.57142857142857
abacus,90.0
abaya,50.0
academic gown,80.0
accordion,84.28571428571429
acoustic guitar,60.0
aircraft carrier,100.0
airliner,90.0
airship,80.0
altar,57.142857142857146
ambulance,70.0
amphibious vehicle,48.57142857142857
analog clock,20.0
apiary,90.0
apron,15.714285714285714
trash can,40.0
assault rifle,60.0
backpack,10.0
bakery,30.0
balance beam,0.0
balloon,67.14285714285714
ballpoint pen,30.0
Band-Aid,70.0
banjo,77.14285714285714
baluster / handrail,38.57142857142857
barbell,50.0
barber chair,40.0
barbershop,82.85714285714286
barn,90.0
barometer,70.0
barrel,60.0
wheelbarrow,48.57142857142857
baseball,40.0
basketball,90.0
bassinet,71.42857142857143
bassoon,58.57142857142857
swimming cap,50.0
bath towel,30.0
bathtub,30.0
station wagon,40.0
lighthouse,80.0
beaker,30.0
military hat (bearskin or shako),52.857142857142854
beer bottle,50.0
beer glass,54.285714285714285
bell tower,10.0
baby bib,70.0
tandem bicycle,90.0
bikini,50.0
ring binder,60.0
binoculars,65.71428571428571
birdhouse,70.0
boathouse,50.0
bobsleigh,94.28571428571429
bolo tie,40.0
poke bonnet,1.4285714285714286
bookcase,72.85714285714286
bookstore,90.0
bottle cap,41.42857142857143
hunting bow,50.0
bow tie,27.142857142857142
brass memorial plaque,80.0
bra,0.0
breakwater,37.142857142857146
breastplate,7.142857142857143
broom,20.0
bucket,70.0
buckle,10.0
bulletproof vest,90.0
high-speed train,90.0
butcher shop,80.0
taxicab,84.28571428571429
cauldron,30.0
candle,40.0
cannon,80.0
canoe,77.14285714285714
can opener,30.0
cardigan,70.0
car mirror,90.0
carousel,90.0
tool kit,60.0
cardboard box / carton,40.0
car wheel,30.0
automated teller machine,70.0
cassette,30.0
cassette player,28.571428571428573
castle,80.0
catamaran,47.142857142857146
CD player,50.0
cello,100.0
mobile phone,55.714285714285715
chain,27.142857142857142
chain-link fence,27.142857142857142
chain mail,10.0
chainsaw,30.0
storage chest,10.0
chiffonier,70.0
bell or wind chime,30.0
china cabinet,55.714285714285715
Christmas stocking,90.0
church,21.428571428571427
movie theater,80.0
cleaver,41.42857142857143
cliff dwelling,85.71428571428571
cloak,10.0
clogs,58.57142857142857
cocktail shaker,70.0
coffee mug,20.0
coffeemaker,10.0
spiral or coil,68.57142857142857
combination lock,28.571428571428573
computer keyboard,20.0
candy store,70.0
container ship,80.0
convertible,61.42857142857143
corkscrew,47.142857142857146
cornet,50.0
cowboy boot,45.714285714285715
cowboy hat,65.71428571428571
cradle,10.0
construction crane,71.42857142857143
crash helmet,42.857142857142854
crate,40.0
infant bed,100.0
Crock Pot,68.57142857142857
croquet ball,90.0
crutch,11.428571428571429
cuirass,60.0
dam,52.857142857142854
desk,50.0
desktop computer,10.0
rotary dial telephone,70.0
diaper,40.0
digital clock,54.285714285714285
digital watch,100.0
dining table,48.57142857142857
dishcloth,90.0
dishwasher,52.857142857142854
disc brake,80.0
dock,14.285714285714286
dog sled,100.0
dome,71.42857142857143
doormat,70.0
drilling rig,71.42857142857143
drum,30.0
drumstick,0.0
dumbbell,47.142857142857146
Dutch oven,55.714285714285715
electric fan,48.57142857142857
electric guitar,38.57142857142857
electric locomotive,72.85714285714286
entertainment center,50.0
envelope,31.428571428571427
espresso machine,22.857142857142858
face powder,71.42857142857143
feather boa,40.0
filing cabinet,71.42857142857143
fireboat,100.0
fire truck,100.0
fire screen,40.0
flagpole,70.0
flute,28.571428571428573
folding chair,34.285714285714285
football helmet,90.0
forklift,50.0
fountain,50.0
fountain pen,70.0
four-poster bed,68.57142857142857
freight car,38.57142857142857
French horn,30.0
frying pan,30.0
fur coat,44.285714285714285
garbage truck,80.0
gas mask or respirator,70.0
gas pump,50.0
goblet,58.57142857142857
go-kart,81.42857142857143
golf ball,40.0
golf cart,80.0
gondola,90.0
gong,60.0
gown,68.57142857142857
grand piano,85.71428571428571
greenhouse,80.0
radiator grille,0.0
grocery store,45.714285714285715
guillotine,80.0
hair clip,50.0
hair spray,31.428571428571427
half-track,95.71428571428571
hammer,0.0
hamper,60.0
hair dryer,30.0
hand-held computer,11.428571428571429
handkerchief,32.857142857142854
hard disk drive,67.14285714285714
harmonica,70.0
harp,90.0
combine harvester,90.0
hatchet,31.428571428571427
holster,51.42857142857143
home theater,62.857142857142854
honeycomb,32.857142857142854
hook,0.0
hoop skirt,50.0
gymnastic horizontal bar,70.0
horse-drawn vehicle,68.57142857142857
hourglass,74.28571428571429
iPod,42.857142857142854
clothes iron,62.857142857142854
carved pumpkin,100.0
jeans,41.42857142857143
jeep,60.0
T-shirt,48.57142857142857
jigsaw puzzle,88.57142857142857
rickshaw,74.28571428571429
joystick,92.85714285714286
kimono,80.0
knee pad,70.0
knot,10.0
lab coat,40.0
ladle,20.0
lampshade,30.0
laptop computer,60.0
lawn mower,70.0
lens cap,38.57142857142857
letter opener,11.428571428571429
library,80.0
lifeboat,100.0
lighter,35.714285714285715
limousine,84.28571428571429
ocean liner,80.0
lipstick,71.42857142857143
slip-on shoe,40.0
lotion,40.0
music speaker,52.857142857142854
loupe magnifying glass,30.0
sawmill,60.0
magnetic compass,48.57142857142857
messenger bag,40.0
mailbox,80.0
maillot,0.0
one-piece bathing suit,100.0
manhole cover,80.0
maraca,80.0
marimba,80.0
mask,44.285714285714285
matchstick,50.0
maypole,78.57142857142857
maze,90.0
measuring cup,80.0
medicine cabinet,10.0
megalith,80.0
microphone,28.571428571428573
microwave oven,60.0
military uniform,51.42857142857143
milk can,0.0
minibus,57.142857142857146
miniskirt,64.28571428571429
minivan,45.714285714285715
missile,70.0
mitten,70.0
mixing bowl,62.857142857142854
mobile home,44.285714285714285
ford model t,80.0
modem,70.0
monastery,30.0
monitor,20.0
moped,47.142857142857146
mortar and pestle,60.0
graduation cap,20.0
mosque,90.0
mosquito net,80.0
vespa,12.857142857142858
mountain bike,94.28571428571429
tent,90.0
computer mouse,20.0
mousetrap,54.285714285714285
moving van,50.0
muzzle,2.857142857142857
metal nail,0.0
neck brace,57.142857142857146
necklace,88.57142857142857
baby pacifier,25.714285714285715
notebook computer,0.0
obelisk,70.0
